wine_name,ratings_average,ratings_count,rating_per_price,price_euros
Montrachet Grand Cru Marquis de Laguiche,4.8,339,0.27,6133.05
IX Estate Red,4.8,131,0.84,745.0
Harlan Estate Red,4.8,104,0.26,1921.25
Vintage Port Nacional,4.8,52,0.22,1152.5
Clos du Mesnil,4.78,715,0.29,11636.25
Veneto Alzero Cabernet,4.74,736,0.76,4584.8
Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.73,3619,1.99,8605.0
Sauternes,4.72,6142,3.3,8773.5
Valbuena 5º,4.7,3678,45.24,382.15
P2 Plénitude Brut Champagne,4.7,970,3.36,1358.75
Cristal Rosé Brut Champagne (Millésimé),4.7,804,0.91,4163.75
Dominus (Christian Moueix),4.7,370,2.27,765.9
Tenuta Guado al Tasso Matarocchio,4.7,342,0.95,1687.5
Les Pavots,4.7,126,1.44,412.5
Chevalier-Montrachet Grand Cru,4.7,104,0.19,2562.5
Clos de Tart Grand Cru Monopole,4.7,77,0.12,2947.5
Quiñon de Valmira,4.7,49,0.58,395.0
Collection Vintage 2000 Brut,4.7,45,1.16,182.5
Perpiero,4.7,43,3.37,59.95
Mazis-Chambertin Grand Cru Cuvée Madeleine Collignon,4.7,32,0.25,605.0
Riserva vecchie viti dei Capalot e delle Brunate Barolo,4.7,32,0.16,940.0
Lot 1,4.7,28,1.39,95.0
Triglia Negroamaro Rosato,4.7,25,5.12,22.95
Toscana,4.69,12622,0.95,62516.9
Tenuta Tignanello 'Solaia',4.69,9502,6.9,6464.5
Grand Vin Pauillac (Premier Grand Cru Classé),4.69,6020,1.88,15048.59
Amarone della Valpolicella Monte Lodoletta,4.69,4750,2.08,10706.25
Special Selection Cabernet Sauvignon,4.69,2189,12.21,840.5
Grange,4.68,1221,1.34,4265.8
Unico,4.68,1008,2.49,1895.6
Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.68,553,0.09,27425.0
Rutherford,4.67,3026,18.78,752.44
Cerretalto Brunello di Montalcino,4.67,2063,3.46,2780.75
Collection,4.67,529,0.37,6725.0
Le Bourg Saumur Champigny,4.67,287,0.48,2818.75
Vintage,4.66,3374,3.47,4533.75
Pingus,4.66,1290,0.5,12085.0
Château Margaux (Premier Grand Cru Classé),4.65,9327,2.73,15901.429999999998
Insignia,4.65,2917,8.35,1623.75
La Grande Dame Brut Rosé Champagne,4.65,402,2.17,861.25
De Buris Amarone della Valpolicella Classico Riserva,4.65,182,0.94,897.5
Barolo Riserva Monfortino,4.65,172,0.21,3885.0
Cuvée des Enchanteleurs Brut Champagne,4.65,99,0.24,1900.0
Opus One,4.64,24607,26.42,4321.52
Pauillac (Premier Grand Cru Classé),4.64,21935,2.29,44389.29000000001
Cristal Brut Champagne (Millésimé),4.64,20293,13.51,6976.25
Lodovico,4.63,3306,3.37,4537.5
Viña El Pison,4.63,250,0.62,1867.5
Brunello di Montalcino Riserva Madonna del Piano,4.62,960,2.18,2032.0
Campo Inferi Amarone della Valpolicella Classico Riserva,4.62,456,8.43,249.9
